name,t_in,t_out,EStart,EEnd
2015001332,15,94,58.519407199999996,60.0
2016004384,46,124,4.675,23.78293333157742
2016004384,131,141,22.954894602244085,24.0
2012008428,15,94,11.360243638244064,23.999999998244054
2012003619,117,143,55.78031052000001,60.0
2016008233,62,143,22.358473198244056,24.0
2013007937,26,141,39.28867172,40.0
2016002456,3,94,22.24903807824407,24.0
2016003864,97,114,39.56225952,40.0
2014005639,102,143,38.3584732,40.0
2013005527,120,143,39.8632061,40.0
2013008993,22,36,64.57147678327789,71.87936761456018
2013008993,46,143,71.218051,75.0
2014004096,29,45,18.233032646084826,35.59836597941816
2014008689,20,47,23.452824399999997,24.0
2014008689,48,124,23.562259519999998,24.0
2014008689,125,143,23.398106839999997,24.0
2014002232,38,120,73.45503360000001,75.0
2014002232,134,143,72.68255040000001,75.0
2015005687,9,143,55.55822159566239,60.0
2015007601,20,98,65.62076646327787,75.0
2012001381,38,96,65.37614678327789,75.0
2014007090,38,64,56.298517999999994,60.0
2014007090,115,143,58.8895554,60.0
2015009018,13,96,66.88892638327789,75.0
2012006708,36,96,46.9643459956624,59.95411645221194
2012000915,114,135,59.2597036,60.0
2016004240,21,105,37.53770926054119,40.0
2016004240,130,132,4.75,6.920666666666667
2016006538,32,96,56.261503175662426,60.0
2014003180,12,18,5.75,12.262
2014003180,27,93,5.75,70.29689932248363
2016007770,37,96,4.675,23.999999998244085
2015001857,22,96,28.50524500246735,30.0
2015001460,81,143,23.266521434467347,29.78293332780069
2012008782,14,96,16.339541598244065,23.457333331577388
2012005275,38,50,15.245190400000002,23.092211406612574
2012005275,66,97,20.716946398244062,23.98654749518514
2012005275,104,143,20.716946399999998,24.0
2016008441,21,143,71.52382558327788,75.0
2014008822,36,136,24.463870394467346,30.0
2014007645,22,123,40.50256235038597,74.97787360849341
2014007645,142,143,69.39949678327787,69.97997579518305
2015003164,6,15,20.71694639824408,23.762099385530206
2015003164,20,24,22.9056488,24.0
2015003164,50,97,20.716946399999998,24.0
2016008126,5,100,68.3373323832779,75.0
2016003819,38,58,55.70628088,60.0
2016003819,60,99,58.7044813,60.0
2016003819,101,124,55.574315,60.0
2016003819,125,143,57.85314044,60.0
2016002092,20,34,12.330760763007797,27.525427429674465
2016002092,39,142,26.541413136341134,39.99999946054118
2014007763,99,143,56.66866619566241,60.0
2015005864,54,134,15.792365998244065,23.999999998244046
2016003908,14,24,16.17538892,23.492824486572708
2016003908,27,58,21.26412199824405,24.0
2016003908,62,98,21.264122,24.0
2015008904,39,131,28.33916111446736,30.0
2015008904,132,138,29.446387039999998,30.0
2015008904,141,143,28.33916112,29.223683613534238
2014001276,140,143,28.33916112,29.45413283519941
2013000152,23,42,73.068792,75.0
2013000152,46,120,69.20637599999999,75.0
2014003562,10,50,56.49258998327789,74.46628545749775
2014003562,50,111,74.80687918327786,75.0
2016000840,50,143,4.775,29.99999999446736
2012010544,114,143,4.675,24.0
2016006935,33,34,25.847902800000004,26.577850503896975
2016006935,36,98,29.16958056,30.0
2015009374,18,24,14.232915538244061,20.647288874200868
2013004880,4,8,22.632061,24.0
2013004880,16,21,22.358473200000002,23.86364803258933
2013004880,52,141,23.4528244,24.0
2016004362,40,99,21.61978614,24.0
2016004362,112,143,22.166961739999998,24.0
2012001075,7,98,38.79621314054119,40.0
2015007301,27,98,54.07762879999999,60.0
2016004191,49,99,5.5,55.50185417349037
